Alpha 0.100000 Lam1 0.000000 Lam2 0.000000 AC   0.8250 NMI   0.4175 Time   0.9100
Alpha 0.100000 Lam1 0.000000 Lam2 0.100000 AC   0.7870 NMI   0.2840 Time   1.7411
Alpha 0.100000 Lam1 0.000000 Lam2 1.000000 AC   0.5390 NMI   0.2836 Time  15.6138
Alpha 0.100000 Lam1 0.000000 Lam2 2.000000 AC   0.5380 NMI   0.2817 Time  16.6170
Alpha 0.100000 Lam1 0.000000 Lam2 3.000000 AC   0.5380 NMI   0.2817 Time  16.9392
Alpha 0.100000 Lam1 0.000000 Lam2 4.000000 AC   0.5380 NMI   0.2780 Time  17.6044
Alpha 0.100000 Lam1 0.000000 Lam2 5.000000 AC   0.5380 NMI   0.2780 Time  17.0375
Alpha 0.100000 Lam1 0.000000 Lam2 6.000000 AC   0.5380 NMI   0.2780 Time  16.9260
Alpha 0.100000 Lam1 0.000000 Lam2 7.000000 AC   0.5380 NMI   0.2780 Time  17.0444
Alpha 0.100000 Lam1 0.000000 Lam2 8.000000 AC   0.5380 NMI   0.2762 Time  17.2386
Alpha 0.100000 Lam1 0.000000 Lam2 9.000000 AC   0.5380 NMI   0.2762 Time  17.6187
Alpha 0.100000 Lam1 0.000000 Lam2 10.000000 AC   0.5380 NMI   0.2762 Time  17.3551
Alpha 0.100000 Lam1 0.010000 Lam2 0.000000 AC   0.7510 NMI   0.3711 Time   1.1115
Alpha 0.100000 Lam1 0.010000 Lam2 0.100000 AC   0.8450 NMI   0.4509 Time   1.0508
Alpha 0.100000 Lam1 0.010000 Lam2 1.000000 AC   0.7030 NMI   0.0393 Time   3.2870
Alpha 0.100000 Lam1 0.010000 Lam2 2.000000 AC   0.7050 NMI   0.0456 Time   3.2117
Alpha 0.100000 Lam1 0.010000 Lam2 3.000000 AC   0.7340 NMI   0.1350 Time   3.0110
Alpha 0.100000 Lam1 0.010000 Lam2 4.000000 AC   0.7840 NMI   0.2800 Time   2.9430
Alpha 0.100000 Lam1 0.010000 Lam2 5.000000 AC   0.7840 NMI   0.2800 Time   2.6882
Alpha 0.100000 Lam1 0.010000 Lam2 6.000000 AC   0.7840 NMI   0.2800 Time   2.5506
Alpha 0.100000 Lam1 0.010000 Lam2 7.000000 AC   0.7840 NMI   0.2800 Time   2.5543
Alpha 0.100000 Lam1 0.010000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   2.5100
Alpha 0.100000 Lam1 0.010000 Lam2 9.000000 AC   0.7770 NMI   0.2753 Time   2.4022
Alpha 0.100000 Lam1 0.010000 Lam2 10.000000 AC   0.7720 NMI   0.2728 Time   2.3512
Alpha 0.100000 Lam1 0.100000 Lam2 0.000000 AC   0.4460 NMI   0.3207 Time  13.3669
Alpha 0.100000 Lam1 0.100000 Lam2 0.100000 AC   0.5950 NMI   0.3222 Time   1.1404
Alpha 0.100000 Lam1 0.100000 Lam2 1.000000 AC   0.7720 NMI   0.2728 Time   1.1828
Alpha 0.100000 Lam1 0.100000 Lam2 2.000000 AC   0.7600 NMI   0.2628 Time   1.3677
Alpha 0.100000 Lam1 0.100000 Lam2 3.000000 AC   0.7500 NMI   0.2513 Time   1.2930
Alpha 0.100000 Lam1 0.100000 Lam2 4.000000 AC   0.7120 NMI   0.2432 Time   1.3577
Alpha 0.100000 Lam1 0.100000 Lam2 5.000000 AC   0.7110 NMI   0.2436 Time   1.2747
Alpha 0.100000 Lam1 0.100000 Lam2 6.000000 AC   0.7460 NMI   0.2504 Time   1.1482
Alpha 0.100000 Lam1 0.100000 Lam2 7.000000 AC   0.7420 NMI   0.2495 Time   1.0777
Alpha 0.100000 Lam1 0.100000 Lam2 8.000000 AC   0.7270 NMI   0.2455 Time   1.1350
Alpha 0.100000 Lam1 0.100000 Lam2 9.000000 AC   0.7220 NMI   0.2448 Time   1.1098
Alpha 0.100000 Lam1 0.100000 Lam2 10.000000 AC   0.7100 NMI   0.2429 Time   1.1223
Alpha 0.100000 Lam1 0.200000 Lam2 0.000000 AC   0.4460 NMI   0.3178 Time  14.1975
Alpha 0.100000 Lam1 0.200000 Lam2 0.100000 AC   0.5950 NMI   0.3222 Time   1.9218
Alpha 0.100000 Lam1 0.200000 Lam2 1.000000 AC   0.7650 NMI   0.3913 Time   1.0525
Alpha 0.100000 Lam1 0.200000 Lam2 2.000000 AC   0.7600 NMI   0.3662 Time   1.3331
Alpha 0.100000 Lam1 0.200000 Lam2 3.000000 AC   0.7400 NMI   0.2488 Time   1.0153
Alpha 0.100000 Lam1 0.200000 Lam2 4.000000 AC   0.7290 NMI   0.2460 Time   1.0408
Alpha 0.100000 Lam1 0.200000 Lam2 5.000000 AC   0.7140 NMI   0.2431 Time   1.0924
Alpha 0.100000 Lam1 0.200000 Lam2 6.000000 AC   0.7520 NMI   0.2529 Time   0.9657
Alpha 0.100000 Lam1 0.200000 Lam2 7.000000 AC   0.7710 NMI   0.2694 Time   0.8678
Alpha 0.100000 Lam1 0.200000 Lam2 8.000000 AC   0.7700 NMI   0.2720 Time   0.7903
Alpha 0.100000 Lam1 0.200000 Lam2 9.000000 AC   0.7710 NMI   0.2724 Time   0.7617
Alpha 0.100000 Lam1 0.200000 Lam2 10.000000 AC   0.7710 NMI   0.2724 Time   0.7401
Alpha 0.100000 Lam1 0.300000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.1483
Alpha 0.100000 Lam1 0.300000 Lam2 0.100000 AC   0.6050 NMI   0.3243 Time   2.1904
Alpha 0.100000 Lam1 0.300000 Lam2 1.000000 AC   0.7600 NMI   0.3752 Time   1.0627
Alpha 0.100000 Lam1 0.300000 Lam2 2.000000 AC   0.7390 NMI   0.3007 Time   0.8606
Alpha 0.100000 Lam1 0.300000 Lam2 3.000000 AC   0.7130 NMI   0.2429 Time   0.9327
Alpha 0.100000 Lam1 0.300000 Lam2 4.000000 AC   0.7560 NMI   0.2544 Time   0.8510
Alpha 0.100000 Lam1 0.300000 Lam2 5.000000 AC   0.7700 NMI   0.2720 Time   0.7578
Alpha 0.100000 Lam1 0.300000 Lam2 6.000000 AC   0.7710 NMI   0.2724 Time   0.7154
Alpha 0.100000 Lam1 0.300000 Lam2 7.000000 AC   0.7720 NMI   0.2728 Time   0.6773
Alpha 0.100000 Lam1 0.300000 Lam2 8.000000 AC   0.7720 NMI   0.2728 Time   0.7606
Alpha 0.100000 Lam1 0.300000 Lam2 9.000000 AC   0.7720 NMI   0.2728 Time   0.7966
Alpha 0.100000 Lam1 0.300000 Lam2 10.000000 AC   0.7770 NMI   0.2753 Time   0.7426
Alpha 0.100000 Lam1 0.400000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.9823
Alpha 0.100000 Lam1 0.400000 Lam2 0.100000 AC   0.6520 NMI   0.3283 Time   2.0620
Alpha 0.100000 Lam1 0.400000 Lam2 1.000000 AC   0.7550 NMI   0.3701 Time   0.7541
Alpha 0.100000 Lam1 0.400000 Lam2 2.000000 AC   0.7680 NMI   0.3933 Time   0.7839
Alpha 0.100000 Lam1 0.400000 Lam2 3.000000 AC   0.7710 NMI   0.2694 Time   0.5770
Alpha 0.100000 Lam1 0.400000 Lam2 4.000000 AC   0.7710 NMI   0.2724 Time   0.5738
Alpha 0.100000 Lam1 0.400000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.5772
Alpha 0.100000 Lam1 0.400000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.5793
Alpha 0.100000 Lam1 0.400000 Lam2 7.000000 AC   0.7720 NMI   0.2728 Time   0.5798
Alpha 0.100000 Lam1 0.400000 Lam2 8.000000 AC   0.7780 NMI   0.2759 Time   0.5904
Alpha 0.100000 Lam1 0.400000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5841
Alpha 0.100000 Lam1 0.400000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.6031
Alpha 0.100000 Lam1 0.500000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  16.5649
Alpha 0.100000 Lam1 0.500000 Lam2 0.100000 AC   0.6590 NMI   0.3329 Time   2.0075
Alpha 0.100000 Lam1 0.500000 Lam2 1.000000 AC   0.7530 NMI   0.3684 Time   0.7462
Alpha 0.100000 Lam1 0.500000 Lam2 2.000000 AC   0.7750 NMI   0.3895 Time   0.4876
Alpha 0.100000 Lam1 0.500000 Lam2 3.000000 AC   0.7700 NMI   0.2720 Time   0.4832
Alpha 0.100000 Lam1 0.500000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.5064
Alpha 0.100000 Lam1 0.500000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.5249
Alpha 0.100000 Lam1 0.500000 Lam2 6.000000 AC   0.7770 NMI   0.2753 Time   0.5302
Alpha 0.100000 Lam1 0.500000 Lam2 7.000000 AC   0.7780 NMI   0.2759 Time   0.5561
Alpha 0.100000 Lam1 0.500000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   0.5434
Alpha 0.100000 Lam1 0.500000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5709
Alpha 0.100000 Lam1 0.500000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.5632
Alpha 0.100000 Lam1 0.600000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.5148
Alpha 0.100000 Lam1 0.600000 Lam2 0.100000 AC   0.6610 NMI   0.3334 Time   1.9802
Alpha 0.100000 Lam1 0.600000 Lam2 1.000000 AC   0.7530 NMI   0.3684 Time   0.7547
Alpha 0.100000 Lam1 0.600000 Lam2 2.000000 AC   0.7670 NMI   0.3813 Time   0.4240
Alpha 0.100000 Lam1 0.600000 Lam2 3.000000 AC   0.7700 NMI   0.2720 Time   0.4581
Alpha 0.100000 Lam1 0.600000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.4339
Alpha 0.100000 Lam1 0.600000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.4709
